scene,dur,scene_a,scene_b,cor_resp,jitter,path,cond,Instructions5.thisRepN,Instructions5.thisTrialN,Instructions5.thisN,Instructions5.thisIndex,Int_All_Runs.thisRepN,Int_All_Runs.thisTrialN,Int_All_Runs.thisN,Int_All_Runs.thisIndex,Int_Run.thisRepN,Int_Run.thisTrialN,Int_Run.thisN,Int_Run.thisIndex,key_resp_8.keys,key_resp_8.rt,Resp.keys,Resp.corr,Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
11.png,7.970309921093215,9.png,7.png,k,5.71910627656256,green,No_Int,,,,,0,0,0,0,0,0,0,0,space,59.76150173299993,None,0,,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
7.png,8.179127987335228,9.png,14.png,j,5.471531402421157,green,No_Int,,,,,0,0,0,0,0,1,1,1,,,j,1,1.1333589639998536,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
2.png,6.971024343460707,8.png,13.png,k,5.513616347334565,green,No_Int,,,,,0,0,0,0,0,2,2,2,,,k,1,1.1355116969998562,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
15.png,8.015914480954855,2.png,16.png,j,6.700441412397761,green,No_Int,,,,,0,0,0,0,0,3,3,3,,,j,1,1.4370430369999667,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
16.png,6.997013856545399,1.png,8.png,k,5.876069710885603,green,No_Int,,,,,0,0,0,0,0,4,4,4,,,k,1,1.5476341059998049,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
4.png,6.771906739081171,7.png,12.png,j,5.938547691604963,green,No_Int,,,,,0,0,0,0,0,5,5,5,,,j,1,1.2011769939999795,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
1.png,6.335740766243619,5.png,16.png,k,5.77446629032235,green,No_Int,,,,,0,0,0,0,0,6,6,6,,,k,1,1.4740884519997053,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
12.png,6.588661253363858,14.png,6.png,j,5.054578213463459,green,No_Int,,,,,0,0,0,0,0,7,7,7,,,j,1,1.6087718349999705,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
8.png,7.173692346126469,7.png,16.png,k,6.519724985531486,blue,Int,,,,,0,0,0,0,0,8,8,8,,,k,1,1.4682620490002591,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
1.png,6.057872838269891,7.png,16.png,k,5.303040316133922,blue,Int,,,,,0,0,0,0,0,9,9,9,,,k,1,2.3363312039996345,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
14.png,6.81703730051434,9.png,4.png,k,5.272456420955458,blue,Int,,,,,0,0,0,0,0,10,10,10,,,j,0,2.452103882999836,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
11.png,8.470735021276566,8.png,2.png,j,5.314053478956506,blue,Int,,,,,0,0,0,0,0,11,11,11,,,j,1,2.233648543000072,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
9.png,5.977996918517981,15.png,8.png,j,6.705948408503116,blue,Int,,,,,0,0,0,0,0,12,12,12,,,j,1,1.9676537370000915,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
12.png,7.039696226925401,13.png,10.png,k,6.964076998608923,blue,Int,,,,,0,0,0,0,0,13,13,13,,,k,1,1.3823742429999584,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
7.png,6.383968356592606,10.png,12.png,k,5.888131744915747,blue,Int,,,,,0,0,0,0,0,14,14,14,,,k,1,1.5489449149999928,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
5.png,8.77251939039783,1.png,16.png,j,5.348394627701229,blue,Int,,,,,0,0,0,0,0,15,15,15,,,j,1,2.331258990999686,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
15.png,5.416542478544372,5.png,1.png,j,6.2154558610976,blue,Int,,,,,0,0,0,0,0,16,16,16,,,j,1,2.222412046000045,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
3.png,7.964355144785104,6.png,16.png,k,5.226770399454724,blue,Int,,,,,0,0,0,0,0,17,17,17,,,k,1,2.0535643949997393,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
4.png,7.713076895535483,11.png,13.png,j,6.269589143729844,blue,Int,,,,,0,0,0,0,0,18,18,18,,,j,1,2.4529947000000902,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
10.png,8.819322640843057,15.png,11.png,k,6.818912585606695,blue,Int,,,,,0,0,0,0,0,19,19,19,,,k,1,1.473601662999954,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
16.png,8.178550646303451,14.png,12.png,j,6.434435278934034,blue,Int,,,,,0,0,0,0,0,20,20,20,,,k,0,1.218419172999802,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
6.png,5.028618816990967,11.png,4.png,k,6.100774575181568,blue,Int,,,,,0,0,0,0,0,21,21,21,,,k,1,1.4763797579998936,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
13.png,5.629811268981284,2.png,15.png,k,6.010615548813401,blue,Int,,,,,0,0,0,0,0,22,22,22,,,k,1,1.9154085149998537,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
2.png,8.006488702354371,1.png,14.png,j,6.783314247398986,blue,Int,,,,,0,0,0,0,0,23,23,23,,,j,1,1.8965089180001087,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
,,,,,,,,,,,,0,0,0,0,,,,,,,,,,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
12.png,6.59297642598318,4.png,11.png,j,6.041790881100421,blue,Int,,,,,1,0,1,0,0,0,0,0,,,j,1,1.8931150769999476,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
9.png,6.971764545365648,8.png,15.png,k,6.922333970027685,blue,Int,,,,,1,0,1,0,0,1,1,1,,,k,1,1.9579883000001246,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
14.png,8.6423570936367,9.png,6.png,k,6.068532843985924,blue,Int,,,,,1,0,1,0,0,2,2,2,,,k,1,1.5328696440001295,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
4.png,8.76718005523023,15.png,5.png,j,6.451904677681361,blue,Int,,,,,1,0,1,0,0,3,3,3,,,j,1,1.6214782150000246,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
16.png,5.183134469451655,6.png,7.png,k,5.542299781806585,blue,Int,,,,,1,0,1,0,0,4,4,4,,,k,1,1.7783058370000617,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
5.png,6.770144955207398,8.png,2.png,j,5.600840253167272,blue,Int,,,,,1,0,1,0,0,5,5,5,,,j,1,1.7646771790000457,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
15.png,5.155408323433905,8.png,2.png,j,5.861772289151442,blue,Int,,,,,1,0,1,0,0,6,6,6,,,j,1,1.3757673089999116,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
3.png,5.136346450931164,14.png,6.png,j,5.476490943719486,blue,Int,,,,,1,0,1,0,0,7,7,7,,,j,1,1.4428552330000457,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
11.png,8.68222128975701,8.png,15.png,k,6.588450113281326,blue,Int,,,,,1,0,1,0,0,8,8,8,,,k,1,1.2902460780001093,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
6.png,8.625557276943656,11.png,4.png,k,6.872082462971163,blue,Int,,,,,1,0,1,0,0,9,9,9,,,k,1,1.3888741020000452,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
10.png,8.424222135176308,15.png,13.png,k,6.572444572454421,blue,Int,,,,,1,0,1,0,0,10,10,10,,,k,1,1.6386979449998762,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
7.png,6.536521719884417,4.png,10.png,k,6.612133831984493,blue,Int,,,,,1,0,1,0,0,11,11,11,,,j,0,1.7654883999998674,32,001,2019_Oct_27_1350,Integration Scanner Trials,3.0.1,59.542112698329156,
