scene,dur,scene_a,scene_b,cor_resp,jitter,path,cond,Instructions5.thisRepN,Instructions5.thisTrialN,Instructions5.thisN,Instructions5.thisIndex,Int_All_Runs.thisRepN,Int_All_Runs.thisTrialN,Int_All_Runs.thisN,Int_All_Runs.thisIndex,Int_Run.thisRepN,Int_Run.thisTrialN,Int_Run.thisN,Int_Run.thisIndex,key_resp_8.keys,key_resp_8.rt,Resp.keys,Resp.corr,Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
11.png,5.167749214421266,4.png,3.png,j,6.722344041264529,green,Int,,,,,0,0,0,0,0,0,0,0,space,35.434951115999866,k,0,2.9370399999988877,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
16.png,5.303604551435601,5.png,7.png,k,6.322407757159283,green,Int,,,,,0,0,0,0,0,1,1,1,,,k,1,0.7758650910000142,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
7.png,5.804746425367153,10.png,9.png,j,6.239066553595043,green,Int,,,,,0,0,0,0,0,2,2,2,,,k,0,1.9770329639995907,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
15.png,8.513060352150331,3.png,13.png,k,6.142701175268243,green,Int,,,,,0,0,0,0,0,3,3,3,,,k,1,1.4254609799991158,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
4.png,7.16974524512317,7.png,16.png,k,6.947189580199567,green,Int,,,,,0,0,0,0,0,4,4,4,,,None,0,,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
9.png,7.896963221289686,12.png,13.png,k,6.373394221458637,green,Int,,,,,0,0,0,0,0,5,5,5,,,None,0,,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
2.png,8.321961823174593,6.png,15.png,j,6.627944530359981,green,Int,,,,,0,0,0,0,0,6,6,6,,,j,1,1.8934110409991263,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
1.png,7.611351859907565,8.png,10.png,j,5.172241359763852,green,Int,,,,,0,0,0,0,0,7,7,7,,,None,0,,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
14.png,8.592178349228789,10.png,8.png,k,6.483291965765682,green,Int,,,,,0,0,0,0,0,8,8,8,,,k,1,1.5830145470008574,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
5.png,7.675264238096722,11.png,6.png,k,6.158030051350069,green,Int,,,,,0,0,0,0,0,9,9,9,,,k,1,2.136180534000232,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
13.png,5.916135014336717,12.png,3.png,j,6.564227844593562,green,Int,,,,,0,0,0,0,0,10,10,10,,,j,1,1.5361371940016397,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
6.png,6.373659470448381,12.png,13.png,k,6.848983948640069,green,Int,,,,,0,0,0,0,0,11,11,11,,,k,1,1.3741018529999565,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
10.png,8.36846466137305,5.png,6.png,j,6.582778644542238,green,Int,,,,,0,0,0,0,0,12,12,12,,,j,1,1.625549303000298,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
8.png,6.858676625099237,5.png,6.png,j,5.060561445782137,green,Int,,,,,0,0,0,0,0,13,13,13,,,j,1,1.5616055250011414,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
12.png,7.003771893176449,4.png,16.png,j,5.417918312494267,green,Int,,,,,0,0,0,0,0,14,14,14,,,None,0,,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
3.png,5.903834016203559,8.png,7.png,k,5.499903547946449,green,Int,,,,,0,0,0,0,0,15,15,15,,,k,1,2.3854651100009505,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
7.png,5.014827393083438,6.png,2.png,j,5.865219732766233,blue,No_Int,,,,,0,0,0,0,0,16,16,16,,,j,1,2.811115558999518,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
6.png,5.921309603549236,16.png,9.png,j,6.143866236498002,blue,No_Int,,,,,0,0,0,0,0,17,17,17,,,j,1,1.8912846120001632,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
5.png,6.61753936734142,6.png,10.png,j,5.969073298462168,blue,No_Int,,,,,0,0,0,0,0,18,18,18,,,j,1,1.6480368669999734,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
15.png,6.411425122064946,1.png,4.png,j,6.008833352721484,blue,No_Int,,,,,0,0,0,0,0,19,19,19,,,j,1,1.695361074000175,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
9.png,7.807646950426188,2.png,6.png,k,6.284129187778012,blue,No_Int,,,,,0,0,0,0,0,20,20,20,,,k,1,1.8122322220006026,29,001,2019_Oct_09_1354,Integration Scanner Trials,3.0.1,59.68198953172145,
