scene,dur,scene_a,scene_b,cor_resp,jitter,path,cond,Instructions5.thisRepN,Instructions5.thisTrialN,Instructions5.thisN,Instructions5.thisIndex,Int_All_Runs.thisRepN,Int_All_Runs.thisTrialN,Int_All_Runs.thisN,Int_All_Runs.thisIndex,Int_Run.thisRepN,Int_Run.thisTrialN,Int_Run.thisN,Int_Run.thisIndex,key_resp_8.keys,key_resp_8.rt,Resp.keys,Resp.corr,Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1.png,5.561607718821894,8.png,10.png,k,5.473376134214399,blue,Int,,,,,0,0,0,0,0,0,0,0,space,13.843017173000135,k,1,1.6530387489997338,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
8.png,6.541970057679913,2.png,4.png,j,6.01010262856458,blue,Int,,,,,0,0,0,0,0,1,1,1,,,j,1,2.7259606610000446,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
10.png,6.593037260898834,14.png,8.png,k,6.20247331130542,blue,Int,,,,,0,0,0,0,0,2,2,2,,,k,1,2.5319353190002403,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
4.png,7.752640088566574,14.png,15.png,j,5.340304325184386,blue,Int,,,,,0,0,0,0,0,3,3,3,,,j,1,1.563473415000317,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
2.png,7.157350124371719,9.png,16.png,j,5.663867069102755,blue,Int,,,,,0,0,0,0,0,4,4,4,,,None,0,,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
12.png,5.241562846443394,14.png,9.png,j,5.392916743250263,blue,Int,,,,,0,0,0,0,0,5,5,5,,,None,0,,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
7.png,6.365422640675318,10.png,11.png,k,5.786389001749483,blue,Int,,,,,0,0,0,0,0,6,6,6,,,None,0,,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
16.png,5.319557698501429,6.png,3.png,j,6.819071107933683,blue,Int,,,,,0,0,0,0,0,7,7,7,,,j,1,1.9179097789997286,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
3.png,5.331074883707416,10.png,12.png,j,5.547782685305316,blue,Int,,,,,0,0,0,0,0,8,8,8,,,k,0,1.9216470629999094,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
14.png,6.791932820361125,6.png,16.png,k,6.541148893734264,blue,Int,,,,,0,0,0,0,0,9,9,9,,,k,1,2.5502885469995817,28,001,2019_Oct_08_0905,Integration Scanner Trials,3.0.1,60.003494243422,
