scene,dur,scene_a,scene_b,cor_resp,jitter,path,cond,Instructions5.thisRepN,Instructions5.thisTrialN,Instructions5.thisN,Instructions5.thisIndex,Int_All_Runs.thisRepN,Int_All_Runs.thisTrialN,Int_All_Runs.thisN,Int_All_Runs.thisIndex,Int_Run.thisRepN,Int_Run.thisTrialN,Int_Run.thisN,Int_Run.thisIndex,key_resp_8.keys,key_resp_8.rt,Resp.keys,Resp.corr,Resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
16.png,8.68449392512249,8.png,10.png,k,5.491143665739872,green,No_Int,,,,,0,0,0,0,0,0,0,0,space,87.33483813299972,None,0,,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
6.png,8.422980947719163,12.png,9.png,j,5.850423276360613,green,No_Int,,,,,0,0,0,0,0,1,1,1,,,None,0,,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
15.png,6.302393147231924,3.png,14.png,j,6.703626134573708,green,No_Int,,,,,0,0,0,0,0,2,2,2,,,j,1,0.8909809119995771,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
13.png,7.607903907137464,3.png,10.png,j,5.316624517467533,green,No_Int,,,,,0,0,0,0,0,3,3,3,,,j,1,1.0890096690000064,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
4.png,8.933692905382598,9.png,12.png,k,5.04769212989617,green,No_Int,,,,,0,0,0,0,0,4,4,4,,,j,0,2.8116429330002575,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
7.png,8.325842672441222,2.png,1.png,k,5.501333649916504,green,No_Int,,,,,0,0,0,0,0,5,5,5,,,k,1,1.4986022670000239,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
11.png,5.779169083649322,16.png,13.png,j,6.243495619243464,green,No_Int,,,,,0,0,0,0,0,6,6,6,,,j,1,0.8261412779993407,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
10.png,6.037645362470733,16.png,11.png,k,5.379061245412473,green,No_Int,,,,,0,0,0,0,0,7,7,7,,,j,0,1.2483631410013913,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
3.png,5.219664378078279,4.png,9.png,k,6.145086613300671,blue,Int,,,,,0,0,0,0,0,8,8,8,,,k,1,1.5862997629992606,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
11.png,6.948804834428973,16.png,12.png,j,6.48482403175367,blue,Int,,,,,0,0,0,0,0,9,9,9,,,None,0,,30,001,2019_Oct_09_1241,Integration Scanner Trials,3.0.1,59.96169622848628,
